,name,author,narrator,release_date,language,stars,price,duration_sec,raters
146,A Script for Danger,Carolyn Keene,Jorjeana Marie,2015-09-22,English,4.5,305.0,10560,5
147,The Battle of Bayport,Franklin W Dixon,Tim Gregory,2016-03-07,English,5.0,305.0,12600,6
148,Moon Rising,Tui T Sutherland,Shannon Mc Manus,2016-08-29,English,5.0,575.0,27000,6
149,Captain Underpants and the Attack of the Talking Toilets,Dav Pilkey,Len Forgione Dazjon Freeman Ben D Amico,2018-06-26,English,5.0,258.0,3540,5
150,Holes,Louis Sachar,Kerry Beyer,2016-05-24,English,4.5,417.0,16200,15
151,"The 39 Clues, Book 1",Rick Riordan,David Pittu,2008-08-29,English,4.5,468.0,18660,11
152,Skeleton Key,Anthony Horowitz,Oliver Chris,2020-04-09,English,5.0,569.0,25140,3
153,Demon Dentist,David Walliams,David Walliams,2013-10-03,English,5.0,265.0,17160,3
154,Hidden Pictures,Carolyn Keene,Jorjeana Marie,2020-01-14,English,4.5,305.0,11520,9
155,The Lost Continent,Tui T Sutherland,Shannon Mc Manus,2018-06-26,English,4.5,656.0,30180,4
156,Unicorn Academy: Ariana and Whisper,Julie Sykes,Kristin Atherton,2020-10-08,English,5.0,266.0,5760,1
157,A Long Walk to Water,Linda Sue Park,David Baker Cynthia Bishop,2013-11-07,English,5.0,797.0,9660,3
158,Talons of Power,Tui T Sutherland,Shannon Mc Manus,2017-01-01,English,5.0,586.0,28320,7
159,Bound for Danger,Franklin W Dixon,Tim Gregory,2017-03-20,English,5.0,305.0,13140,4
160,"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 1: The Night of the Nasty Nostril Nuggets",Dav Pilkey,Len Forgione Dazjon Freeman Ben D Amico,2018-10-16,English,5.0,258.0,4200,5
161,City of Thieves,Alex London,A J Beckles,2021-09-21,English,5.0,586.0,22800,1
162,Mystery of the Midnight Rider,Carolyn Keene,Jorjeana Marie,2014-12-28,English,5.0,305.0,11580,8
163,The Smoke Thieves,Sally Green,Charlie Anson Pippa Bennett Warner Yasmin Paige,2018-05-03,English,5.0,820.0,47880,1
164,The Haunting on Heliotrope Lane,Carolyn Keene,Jorjeana Marie,2018-01-02,English,4.0,305.0,10980,9
165,The Stolen Show,Carolyn Keene,Jorjeana Marie,2019-09-24,English,5.0,305.0,11940,5
166,Minecraft: The Crash,Tracey Baptiste,January La Voy,2018-07-12,English,5.0,683.0,26280,5
167,Scorpia Rising,Anthony Horowitz,Dan Stevens,2020-04-09,English,5.0,645.0,33960,2
168,Three Tales of My Father's Dragon,Ruth Stiles Gannett,Robert Serva,2016-08-16,English,5.0,1005.0,8640,2
169,Captain Underpants and the Perilous Plot of Professor Poopypants,Dav Pilkey,Len Forgione Dazjon Freeman Ben D Amico,2018-09-18,English,4.0,258.0,3780,4
170,Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,Dav Pilkey,Len Forgione Dazjon Freeman Ben D Amico,2018-07-31,English,4.0,258.0,3300,5
171,Famous Mistakes,Carolyn Keene,Jorjeana Marie,2019-01-15,English,5.0,305.0,11100,5
172,Minecraft: The Lost Journals,Mur Lafferty,Emily Schaffer,2019-07-11,English,4.5,888.0,25740,7
173,The Witch's Boy,Kelly Barnhill,Ralph Lister,2020-06-25,English,5.0,1328.0,35880,1
174,The Hive Queen,Tui T Sutherland,Shannon Mc Manus,2018-12-26,English,5.0,586.0,24780,8
175,Nightfall,Shannon Messenger,Caitlin Kelly,2018-11-06,English,5.0,1170.0,75120,14
176,The Curse of the Ancient Emerald,Franklin W Dixon,Tim Gregory,2016-05-23,English,5.0,305.0,10380,4
177,The Last Kids on Earth and the Skeleton Road,Max Brallier Douglas Holgate,Robbie Daymond,2020-09-15,English,5.0,754.0,15720,1
178,Doctor Who: Thirteen Doctors 13 Stories,Naomi Alderman Malorie Blackman Holly Black,,2019-03-07,English,5.0,820.0,51420,1
179,The Gray Hunter's Revenge,Franklin W Dixon,Tim Gregory,2018-10-09,English,5.0,305.0,11760,3
180,Magisterium: The Iron Trial,Cassandra Clare Holly Black,Paul Boehmer,2015-10-29,English,4.5,752.0,38220,6
181,Mr. Lemoncello's Great Library Race,Chris Grabenstein,Jesse Bernstein Chris Grabenstein,2017-10-10,English,5.0,1005.0,24360,4
182,The Fourth Closet,Scott Cawthon Kira Breed Wrisley,Suzanne Elise Freeman,2018-06-26,English,5.0,586.0,36480,2
183,Power of the Fire Dragon,Tracey West,Emily Ellet,2020-06-02,English,4.0,164.0,2820,1
184,Magisterium: The Golden Tower,Cassandra Clare Holly Black,Paul Boehmer,2018-09-06,English,5.0,683.0,26280,2
185,The Troll,Julia Donaldson,Alex Jennings,2010-09-03,English,5.0,323.0,1860,2
186,Lockwood & Co.,Jonathan Stroud,Katie Lyons,2014-09-25,English,5.0,752.0,41820,3
187,Ben Braver and the Vortex of Doom,Marcus Emerson,Ramonde Ocampo,2020-08-25,English,5.0,469.0,15720,1
188,The Magic Misfits: The Second Story,Neil Patrick Harris,Neil Patrick Harris Christina Hendricks,2018-09-25,English,5.0,664.0,19980,2
189,Tiger's Curse,Colleen Houck,Annika Boras Sanjiv Jahveri,2011-05-04,English,5.0,1003.0,56460,1
190,Just William - More William,Richmal Crompton,Martin Jarvis,2009-02-09,English,5.0,512.0,18240,1
191,Public Enemy Number Two,Anthony Horowitz,Nickolas Grace,2008-04-22,English,5.0,664.0,16020,1
192,Mercy Watson #3,Kate Di Camillo,Ron Mc Larty,2007-06-08,English,5.0,200.0,1200,2
193,A to Z Mysteries: The Zombie Zone,Ron Roy,David Pittu,2011-03-08,English,4.0,402.0,3660,1
194,Wizard for Hire,Obert Skye,Kirby Heyborne,2018-03-06,English,4.5,820.0,34320,2
195,The Jungle Book,Rudyard Kipling,Rhashan Stone,2018-05-31,English,3.0,615.0,18000,1
196,LEGO Ninjago: Brick Adventures #1: Brother/Sister Squad,Meredith Rusu,Cassandra Morris Lucien Dodge,2018-05-22,English,5.0,164.0,1860,1
197,The Emperor of Nihon-Ja,John Flanagan,William Zappa,2012-07-27,English,5.0,702.0,48360,1
198,The Missing Prince,John Flanagan,John Keating,2020-11-03,English,4.0,797.0,31140,2
199,The Star of Kazan,Eva Ibbotson,Ruth Jones,2008-04-29,English,5.0,323.0,23100,1
200,Shoe Wars,Liz Pichon,Joanna Scanlon,2021-04-27,English,5.0,1063.0,18180,1
201,"Fablehaven, Book 2",Brandon Mull,E B Stevens,2013-05-24,English,5.0,468.0,42720,1
202,Winter Turning,Tui T Sutherland,Shannon Mc Manus,2017-01-01,English,4.5,586.0,27000,10
203,"The 39 Clues, Book 7",Peter Lerangis,David Pittu,2010-02-02,English,5.0,468.0,17760,7
204,Trust No One,Linda Sue Park,David Pittu,2012-12-04,English,5.0,586.0,16860,1
205,Hansel and Gretel,Brothers Grimm,Katie Haigh,2015-12-17,English,4.0,187.0,1020,1
206,The 39 Clues: Flashpoint,Gordon Korman,David Pittu,2014-09-01,English,4.5,410.0,20100,2
207,Earthquake,Ruskin Bond,Ruskin Bond,2019-12-04,English,5.0,200.0,2520,2
208,Stolen Identity,Franklin W Dixon,Tim Gregory,2018-02-20,English,5.0,305.0,10020,6
209,The 39 Clues,C Alexander London,David Pittu,2015-08-01,English,5.0,434.0,17340,2
210,George's Cosmic Treasure Hunt,Lucy Hawking Stephen Hawking,James Goode Lucy Hawking,2009-03-28,English,5.0,615.0,22080,1
211,Magisterium: The Copper Gauntlet,Cassandra Clare Holly Black,Paul Boehmer,2016-10-20,English,5.0,683.0,30060,4
212,Stormspeaker,Christina Diaz Gonzalez,Nicola Barber,2018-01-30,English,5.0,445.0,17760,1
213,Black Beauty,Anna Sewell,Ralph Cosham,2011-12-22,English,4.0,668.0,19260,1
214,The Count of Monte Cristo,Alexandre Dumas,Bill Homewood,2000-10-26,English,5.0,333.0,9480,1
215,The Boy Who Dreamed of Dragons,Andy Shepherd,Ewan Goddard,2020-06-11,English,5.0,569.0,14640,1
216,George and the Blue Moon,Lucy Hawking Stephen Hawking,Roy Mc Millan Sophie Aldred,2017-03-02,English,4.5,683.0,25620,2
217,Escaping Peril,Tui T Sutherland,Shannon Mc Manus,2016-02-04,English,5.0,575.0,25320,6
218,Rise and Fall,Eliot Schrefer,Nicola Barber,2015-01-01,English,4.0,492.0,18600,1
219,George and the Unbreakable Code,Lucy Hawking Stephen Hawking,Roy Mc Millan Sophie Aldred,2016-07-28,English,5.0,683.0,24840,2
220,George and the Ship of Time,Lucy Hawking,Roy Mc Millan Sophie Aldred,2018-05-03,English,5.0,683.0,27660,2
221,Shadows at Predator Reef,Franklin W Dixon,Tim Gregory,2016-05-23,English,5.0,305.0,10380,8
222,Charlie Cook's Favourite Book,Julia Donaldson Axel Scheffler,Imelda Staunton Steven Pacey,2008-10-23,English,5.0,323.0,1020,2
223,Ringo & the Yogi,Prasun Roy,Siddhanta Pinto,2019-11-19,English,4.0,0.0,19080,4
224,The Miraculous Journey of Edward Tulane,Kate Di Camillo,Judith Ivey,2006-01-01,English,4.5,501.0,6900,2
225,The Mercy Watson Collection,Kate Di Camillo,Ron Mc Larty,2006-01-01,English,5.0,502.0,2400,2
226,The Green Ember,S D Smith,Joel Clarkson,2015-02-04,English,4.5,668.0,28500,3
227,The Burning Tide,Jonathan Auxier,Nicola Barber,2016-09-13,English,5.0,492.0,16740,1
228,My Side of the Mountain,Jean Craighead George,Michael Crouch,2017-12-05,English,5.0,754.0,16560,4
229,Magisterium: The Silver Mask,Cassandra Clare Holly Black,Paul Boehmer,2017-10-12,English,5.0,683.0,26040,4
230,Battle for Loot Lake: An Unofficial Fortnite Adventure Novel,Devin Hunter,Ramonde Ocampo,2018-09-18,English,5.0,585.0,7620,2
231,The Magic Misfits: The Minor Third,Neil Patrick Harris,Neil Patrick Harris Trey Hall,2019-09-10,English,5.0,664.0,19080,1
232,Hurricane Heroes in Texas,Mary Pope Osborne,Mary Pope Osborne,2018-08-07,English,5.0,402.0,4380,1
233,Attack of the Bayport Beast,Franklin W Dixon,Tim Gregory,2017-03-20,English,5.0,305.0,9480,4
234,"The 39 Clues, Book 8: The Emperor's Code",Gordon Korman,David Pittu,2010-04-06,English,5.0,468.0,17820,4
235,City of the Plague God,Sarwat Chadda,Vikas Adam,2021-01-22,English,4.5,930.0,37380,5
236,Spirit Animals,Maggie Stiefvater,Nicola Barber,2014-01-01,English,5.0,492.0,18960,2
237,Wild Born,Brandon Mull,Nicola Barber,2013-09-10,English,4.5,492.0,20160,3
238,Point Blanc,Anthony Horowitz,Oliver Chris,2020-01-30,English,5.0,569.0,20400,6
239,A to Z Mysteries: The Invisible Island,Ron Roy,David Pittu,2019-08-12,English,5.0,402.0,3300,1
240,Grandpa's Great Escape,David Walliams,David Walliams Nitin Ganatra Michael Gambon,2015-09-24,English,5.0,377.0,20940,2
241,"Cahills vs. Vespers, Book 6: Day of Doom",David Baldacci,David Pittu,2013-03-05,English,5.0,586.0,22980,4
242,The Smartest Kid in the Universe,Chris Grabenstein,Kirby Heyborne,2020-12-01,English,5.0,904.0,20820,3
243,The Vanishing Game,Franklin W Dixon,Tim Gregory,2015-11-02,English,5.0,305.0,11220,6
244,The Sign in the Smoke,Carolyn Keene,Jorjeana Marie,2016-05-10,English,4.5,305.0,16260,7
245,Ark Angel,Anthony Horowitz,Oliver Chris,2020-01-30,English,4.5,645.0,30120,3
246,Minecraft: The End,Catherynne M Valente,Emily Schaffer,2019-12-05,English,4.5,888.0,29460,6
